Property,Value,Voigt,Reuss,Hill,HalpinTsai
h,0.00146628,,,,
n_elems,349184,,,,
E1,146305812594.90661621,158939037176.28771973,100047973926.85144043,129493505551.56958008,145882469644.82275391
E2,104584844644.86654663,,,,
v12,0.25314041,0.23969021,0.23049460,0.23509240,0.23879042
v21,0.18339877,,,,
G12,42078443036.38436127,65537652906.77172089,39279612686.65457153,52408632796.71315002,59442127767.64308929
V_fiber,0.60309791,,,,
V_matrix,0.39690209,,,,
V_pore,0.00000000,,,,
tcpumax,133.78620428,,,,
